"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Trayvon Bromell","New Balance / Tumbleweed Track Club","9.81","qualified","declared","men","100m"
"2","Marvin Bracy","NIKE","9.85","qualified","declared","men","100m"
"3","Christian Coleman","NIKE","9.87","qualified","declared","men","100m"
"4","Pjai Austin","University of Florida","9.89","qualified","declared","men","100m"
"5","Courtney Lindsey","Texas Tech University","9.89","qualified","declared","men","100m"
"6","Cravont Charleston","Tracksmith","9.90","qualified","declared","men","100m"
"7","Noah Lyles","adidas","9.95","qualified","declared","men","100m"
"8","Kyree King","NIKE","9.96","qualified","declared","men","100m"
"9","Da'Marcus Fleming","Louisiana State University","9.97","qualified","declared","men","100m"
"10","Cravon Gillespie","NIKE","9.99","qualified","declared","men","100m"
"11","Kendal Williams","adidas","9.99","qualified","declared","men","100m"
"12","Micah Williams","University of Oregon","9.99","qualified","declared","men","100m"
"13","Ronnie Baker","adidas","10.01","qualified","declared","men","100m"
"14","Brandon Carnes","","10.02","qualified","declared","men","100m"
"15","Christopher Royster","","10.02","qualified","declared","men","100m"
"16","Amir Willis","Florida State University","10.07","accepted","declared","men","100m"
"17","Taylor Banks","Florida State University","10.08","accepted","declared","men","100m"
"18","Lawrence Johnson","University of Wisconsin, Madison","10.08","accepted","declared","men","100m"
"19","JT Smith","Texas A&M University-Commerce","10.09","accepted","declared","men","100m"
"20","Austin Kresley","University of Iowa","10.10","accepted","declared","men","100m"
"21","Victor Smith","Alabama State University","10.10","accepted","declared","men","100m"
"22","Coby Hilton","","10.11","accepted","declared","men","100m"
"23","Terrance Laird","adidas","10.11","accepted","declared","men","100m"
"24","Marqueze Washington","","10.11","accepted","declared","men","100m"
"25","Ilias Garcia","S.H.A.R.K.S ATHLETICS CLUB","10.12","accepted","declared","men","100m"
"26","Brandon Hicklin","Louisiana State University","10.12","accepted","declared","men","100m"
"27","Sterling Warner-Savage","","10.12","accepted","declared","men","100m"
"28","Sam Blaskowski","University of Wisconsin, La Crosse","10.13","accepted","declared","men","100m"
"29","Rodney Heath Jr","Louisiana Tech University","10.13","accepted","declared","men","100m"
"30","Cameron Rose","Clemson University","10.17","accepted","declared","men","100m"
"31","Cooper Bibbs","S.H.A.R.K.S ATHLETICS CLUB","10.18","accepted","declared","men","100m"
"32","Dondrea Swint","Texas Tech University","10.19","accepted","declared","men","100m"
"33","Michael Norman Jr.","NIKE","NT","accepted","declared","men","100m"
"34","Brendon Stewart","University of Southern California","10.20","not qualified","not accepted","men","100m"
"35","Connor Washington","University of Arkansas, Fayetteville","10.20","not qualified","not accepted","men","100m"
"36","Michael Gizzi","","10.23","not qualified","not accepted","men","100m"
"37","Demarius Smith","","10.23","not qualified","not accepted","men","100m"
"38","Trayvion White-Austin","University of Arizona","10.29","not qualified","not accepted","men","100m"
"39","David Foster","University of California, Berkeley","10.30","not qualified","not accepted","men","100m"
"40","Deondre Spruill","S.H.A.R.K.S ATHLETICS CLUB","10.38","not qualified","not accepted","men","100m"
"41","Kenneth Bednarek","NIKE","9.98","qualified","scratched","men","100m"
"42","Josephus Lyles","adidas","10.03","qualified","scratched","men","100m"
"43","Sha'Carri Richardson","NIKE","10.76","qualified","declared","women","100m"
"44","Aleia Hobbs","adidas","10.81","qualified","declared","women","100m"
"45","Melissa Jefferson","NIKE","10.82","qualified","declared","women","100m"
"46","Twanisha Terry","NIKE","10.82","qualified","declared","women","100m"
"47","Tamari Davis","adidas","10.83","qualified","declared","women","100m"
"48","Tamara Clark","adidas / The Buford Bailey Track Club","10.88","qualified","declared","women","100m"
"49","Shawnti Jackson","Run U Xpress","10.89","qualified","declared","women","100m"
"50","Celera Barnes","adidas","10.94","qualified","declared","women","100m"
"51","Morolake Akinosun","adidas","10.95","qualified","declared","women","100m"
"52","Javianne Oliver","","10.95","qualified","declared","women","100m"
"53","Teahna Daniels","NIKE","10.96","qualified","declared","women","100m"
"54","Jacious Sears","University of Tennessee, Knoxville","10.96","qualified","declared","women","100m"
"55","Ezinne Abba","University of Texas at Austin","10.98","qualified","declared","women","100m"
