"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Duncan Hamilton","Montana State University-Bozeman","8:16.23","qualified","declared","men","3000m Steeplechase"
"2","Anthony Rotich","NIKE / U.S. Army","8:16.27","qualified","declared","men","3000m Steeplechase"
"3","Isaac Updike","Under Armour / Dark Sky Distance","8:17.47","qualified","declared","men","3000m Steeplechase"
"4","Kenneth Rooks","Brigham Young University","8:17.62","qualified","declared","men","3000m Steeplechase"
"5","Benard Keter","NIKE / U.S. Army","8:19.16","qualified","declared","men","3000m Steeplechase"
"6","Mason Ferlic","adidas","8:22.25","qualified","declared","men","3000m Steeplechase"
"7","Daniel Michalski","U.S. Air Force","8:22.56","qualified","declared","men","3000m Steeplechase"
"8","Brian Barraza","Tinman Elite","8:25.21","qualified","declared","men","3000m Steeplechase"
"9","Derek Johnson","University of Virginia","8:25.23","qualified","declared","men","3000m Steeplechase"
"10","Joseph Berriatua","Tinman Elite","8:25.98","qualified","declared","men","3000m Steeplechase"
"11","Matthew Wilkinson","University of Minnesota, Twin Cities","8:26.33","qualified","declared","men","3000m Steeplechase"
"12","Alec Basten","Under Armour","8:26.90","qualified","declared","men","3000m Steeplechase"
"13","Levi Taylor","Bobcat Track and Field Association","8:27.05","qualified","declared","men","3000m Steeplechase"
"14","Andrew Bayer","","8:27.31","qualified","declared","men","3000m Steeplechase"
"15","Craig Nowak","","8:28.27","qualified","declared","men","3000m Steeplechase"
"16","Nathan Mylenek","Very Nice Track Club","8:28.72","qualified","declared","men","3000m Steeplechase"
"17","Craig Huff","HOKA Aggie Running Club","8:29.03","accepted","declared","men","3000m Steeplechase"
"18","Alexander Slenning","University of Oregon","8:34.29","accepted","declared","men","3000m Steeplechase"
"19","Jackson Mestler","Oregon Track Club","8:34.76","accepted","declared","men","3000m Steeplechase"
"20","Peter Herold","University of California, Los Angeles","8:35.19","accepted","declared","men","3000m Steeplechase"
"21","Aidan Tooker","Oregon Track Club","8:36.24","accepted","declared","men","3000m Steeplechase"
"22","Jacob Mitchem","San Diego Track Club","8:37.34","accepted","declared","men","3000m Steeplechase"
"23","Christopher Collet","Wartburg College","8:38.46","accepted","declared","men","3000m Steeplechase"
"24","Julius Diehr","Ocean State Athletic Club","8:38.46","accepted","declared","men","3000m Steeplechase"
"25","Ben Garner","Tracksmith","8:38.50","accepted","declared","men","3000m Steeplechase"
"26","David Ribich","Nike Union Athletics Club","8:43.09","accepted","declared","men","3000m Steeplechase"
"27","Eion Nohilly","EMPIRE ELITE TC","8:44.24","not qualified","not accepted","men","3000m Steeplechase"
"28","Emma Coburn","New Balance","9:07.93","qualified","declared","women","3000m Steeplechase"
"29","Courtney Wayment","On","9:09.91","qualified","declared","women","3000m Steeplechase"
"30","Courtney Frerichs","NIKE / Bowerman Track Club","9:10.59","qualified","declared","women","3000m Steeplechase"
"31","Madison Boreman","","9:22.99","qualified","declared","women","3000m Steeplechase"
"32","Kristlin Gear","HOKA NAZ Elite","9:23.55","qualified","declared","women","3000m Steeplechase"
"33","Olivia Markezich","University of Notre Dame","9:25.03","qualified","declared","women","3000m Steeplechase"
"34","Gabrielle Jennings","adidas","9:25.05","qualified","declared","women","3000m Steeplechase"
"35","Katie Rainsberger","New Balance","9:29.77","qualified","declared","women","3000m Steeplechase"
"36","Marisa Howard","Tracksmith / Idaho Afoot","9:32.10","qualified","declared","women","3000m Steeplechase"
"37","Colleen Quigley","lululemon","9:32.48","qualified","declared","women","3000m Steeplechase"
"38","Logan Jolly","","9:38.82","accepted","declared","women","3000m Steeplechase"
"39","Kaylee Mitchell","Oregon State University","9:39.45","accepted","declared","women","3000m Steeplechase"
"40","Kayley DeLay","University of Washington","9:40.17","accepted","declared","women","3000m Steeplechase"
"41","Carmen Graves","Oiselle / Denver Athletics","9:40.39","accepted","declared","women","3000m Steeplechase"
"42","Lexy Halladay","Brigham Young University","9:41.85","accepted","declared","women","3000m Steeplechase"
"43","Madeline Strandemo","Oiselle / Littlewing Athletics","9:42.08","accepted","declared","women","3000m Steeplechase"
"44","Katie Thronson","University of Notre Dame","9:44.11","accepted","declared","women","3000m Steeplechase"
"45","Angelina Ellis","Butler University","9:44.57","accepted","declared","women","3000m Steeplechase"
"46","Abby Kohut-Jackson","Under Armour","9:47.65","accepted","declared","women","3000m Steeplechase"
"47","Emma Gee","","9:49.72","accepted","declared","women","3000m Steeplechase"
"48","Katelyn Mitchem","University of Wyoming","9:52.49","accepted","declared","women","3000m Steeplechase"
"49","Emily Cole","Duke University","9:53.86","accepted","declared","women","3000m Steeplechase"
"50","Lydia Olivere","Villanova University","9:54.20","accepted","declared","women","3000m Steeplechase"
"51","Meredith Rizzo","Tracksmith / Idaho Afoot","9:54.72","accepted","declared","women","3000m Steeplechase"
"52","Judi Jones","Tracksmith / Idaho Afoot","9:57.42","accepted","declared","women","3000m Steeplechase"
"53","Harper McClain","University of Oregon","10:00.59","accepted","declared","women","3000m Steeplechase"
"54","Jenna Melanson","","10:03.37","not qualified","not accepted","women","3000m Steeplechase"
"55","Dana Klein","Tracksmith / Idaho Afoot","10:07.60","not qualified","not accepted","women","3000m Steeplechase"
"56","Lindsey Morse","NIKE / Bowerman Track Club","10:17.94","not qualified","not accepted","women","3000m Steeplechase"
"57","Courtney Barnes","","10:24.38","not qualified","","women","3000m Steeplechase"
