"","Name","Affiliation","Mark","Status","Declaration","gender","event"
"1","Rai Benjamin","NIKE","46.89","qualified","declared","men","400m Hurdles"
"2","Trevor Bassitt","","47.39","qualified","declared","men","400m Hurdles"
"3","Craig Allen","ASICS","47.58","qualified","declared","men","400m Hurdles"
"4","Khallifah Rosser","NIKE","47.59","qualified","declared","men","400m Hurdles"
"5","Christopher Robinson","University of Alabama","48.12","qualified","declared","men","400m Hurdles"
"6","Taylor McLaughlin","","48.38","qualified","declared","men","400m Hurdles"
"7","Amere Lattin","","48.53","qualified","declared","men","400m Hurdles"
"8","David Kendziera","","48.74","qualified","declared","men","400m Hurdles"
"9","Caleb Cavanaugh","University of Georgia","49.04","qualified","declared","men","400m Hurdles"
"10","Cass Elliott","University of Washington","49.13","qualified","declared","men","400m Hurdles"
"11","James Smith","Texas A&M University, College Station","49.21","qualified","declared","men","400m Hurdles"
"12","Bryce McCray","Texas A&M University, College Station","49.70","accepted","declared","men","400m Hurdles"
"13","Julien Gillum","University of Iowa","49.73","accepted","declared","men","400m Hurdles"
"14","Drake Schneider","","49.75","accepted","declared","men","400m Hurdles"
"15","Quivell Jordan-Bacot","Tracksmith","49.88","accepted","declared","men","400m Hurdles"
"16","James Rivera","Florida State University","49.98","accepted","declared","men","400m Hurdles"
"17","Jared McAlvey","Washington State University","50.23","accepted","declared","men","400m Hurdles"
"18","Sam Hartman","Edinboro University of Pennsylvania","50.29","accepted","declared","men","400m Hurdles"
"19","Jonathan Birchman","University of Washington","50.40","accepted","declared","men","400m Hurdles"
"20","Joel Smith","Bethel University (Minnesota)","50.88","accepted","declared","men","400m Hurdles"
"21","Eysias Banks","","51.05","accepted","declared","men","400m Hurdles"
"22","Malcum Tatum","Central Park Track Club (CPTC) - Tracksmith","51.12","accepted","declared","men","400m Hurdles"
"23","Isaiah Chapman","Saint Augustine's University","52.04","accepted","declared","men","400m Hurdles"
"24","David-Marquis Patrick","","52.83","accepted","declared","men","400m Hurdles"
"25","Caleb Dean","Texas Tech University","48.39","qualified","scratched","men","400m Hurdles"
"26","Jarvis Anderson","Stephen F. Austin State University","52.68","accepted","","men","400m Hurdles"
"27","Dalilah Muhammad","NIKE","53.13","qualified","declared","women","400m Hurdles"
"28","Shamier Little","adidas","53.38","qualified","declared","women","400m Hurdles"
"29","Anna Cockrell","NIKE","53.98","qualified","declared","women","400m Hurdles"
"30","Cassandra Tate","","54.68","qualified","declared","women","400m Hurdles"
"31","Chastity Pickett","Campbell University","54.86","qualified","declared","women","400m Hurdles"
"32","Deshae Wise","Tracksmith / Tracksmith Boston Hares","55.15","qualified","declared","women","400m Hurdles"
"33","Ashley Spencer","NIKE","55.19","qualified","declared","women","400m Hurdles"
"34","Shannon Meisberger","","55.39","qualified","declared","women","400m Hurdles"
"35","Shani'a Bellamy","Louisiana State University","55.58","qualified","declared","women","400m Hurdles"
"36","Vanessa Watson","University of Florida","55.59","qualified","declared","women","400m Hurdles"
"37","Lauren Hoffman","San Jose TC","55.77","qualified","declared","women","400m Hurdles"
"38","Jessica Wright","Howard University","55.81","qualified","declared","women","400m Hurdles"
"39","Abigail Glynn","University of Colorado, Boulder","55.94","qualified","declared","women","400m Hurdles"
"40","Kaila Barber","Tracksmith","56.00","qualified","declared","women","400m Hurdles"
"41","Madison Langley-Walker","University of Arkansas, Fayetteville","56.05","accepted","declared","women","400m Hurdles"
"42","Bianca Stubler","Tracksmith","56.20","accepted","declared","women","400m Hurdles"
"43","Ashonti Warner","University of Oklahoma","56.52","accepted","declared","women","400m Hurdles"
"44","Paige Magee","University of Iowa","56.62","accepted","declared","women","400m Hurdles"
"45","Mariel Bruxvoort","University of Iowa","56.71","accepted","declared","women","400m Hurdles"
"46","Riley Knebes","","56.88","accepted","declared","women","400m Hurdles"
"47","Erin Dowd","","56.95","accepted","declared","women","400m Hurdles"
"48","Nicole Stephens","University of Michigan","57.11","accepted","declared","women","400m Hurdles"
"49","Britton Wilson","University of Arkansas, Fayetteville","53.23","qualified","scratched","women","400m Hurdles"
"50","Anna Hall","adidas","54.42","qualified","scratched","women","400m Hurdles"
